record_id,title,year,journal_or_venue,document_type,nanobubble_vs_nanoparticle,application_category,abstract_or_summary,size_value,size_unit,size_evidence_quote,zeta_potential_value,zeta_potential_unit,zeta_potential_evidence_quote,stability_value,stability_unit,stability_evidence_quote,payload_value,payload_unit,payload_evidence_quote,loading_efficiency_value,loading_efficiency_unit,loading_efficiency_evidence_quote,release_profile_value,release_profile_unit,release_profile_evidence_quote,ambiguity_flag,annotator_notes
API_PubMed_10_1007_s12032_025_03200_7,Investigation of the effect of encapsulating cisplatin with the active compound silibinin in PLGA polymeric nanoparticles on the HeLa cervical cancer cell line.,2025,"Medical oncology (Northwood, London, England)",original,nanoparticle,biomedical/translational,"Cisplatin remains one of the most widely used chemotherapeutic agents, yet its clinical efficacy is limited by poor tumor selectivity, dose-dependent toxicity, and the development of resistance. Silibinin, a hydrophobic natural compound with antioxidant and anticancer activity, has been proposed as a complementary agent capable of enhancing therapeutic responses. In this study, poly(lactic-co-glycolic acid) (PLGA) nanoparticles were developed to encapsulate cisplatin and silibinin individually, aiming to improve their stability, sustain release, and enhance cytotoxic activity against HeLa cervical cancer cells. Nanoparticles were synthesized using a modified double-emulsion (W/O/W) solvent evaporation method and characterized for particle size, zeta potential, morphology, encapsulation efficiency, and in vitro release. Silibinin-loaded nanoparticles (F4) and cisplatin-loaded nanoparticles (F7) demonstrated optimal physicochemical properties, with encapsulation efficiencies of 81.2% and 59.4%, respectively. TEM imaging confirmed spherical morphology, and DLS analysis showed particle sizes of 144 nm (silibinin) and 164 nm (cisplatin). In vitro drug release studies performed under physiological (pH 7.4, 37 Â°C) and tumor-mimicking conditions (pH 5.2, 42 Â°C) revealed accelerated release at acidic and hyperthermic conditions. Silibinin release increased from 53.77% to 81.95%, while cisplatin release increased from 57.18% to 73.41% under tumor-like conditions. Both formulations exhibited biphasic release behavior consistent with diffusion-controlled kinetics. Cytotoxicity assessment using the MTT assay demonstrated a significant reduction in HeLa cell viability for both optimized formulations, with the combined treatment showing enhanced inhibitory effects compared to individual drugs. Overall, the findings indicate that PLGA nanoparticles can effectively enhance the controlled release and anticancer activity of cisplatin and silibinin, supporting their potential application as a more efficient and less toxic therapeutic strategy for cervical cancer.","144, 164",nm,"""particle sizes of 144 nm (silibinin) and 164 nm (cisplatin)""",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,cisplatin; silibinin,NOT_REPORTED,encapsulate cisplatin and silibinin individually,81.2; 59.4,%,encapsulation efficiencies of 81.2% and 59.4%,53.77Ð81.95; 57.18Ð73.41; biphasic,%,Silibinin release increased from 53.77% to 81.95%... cisplatin release increased from 57.18% to 73.41%... biphasic release behavior,direct,
API_OpenAlex_10_2166_wqrj_2025_052,Critical review of oxidant application and scalability for managing toxic <i>Microcystis</i> blooms in wastewater stabilisation ponds,2025,Water Quality Research Journal,review,nanobubble,environmental/water,"ABSTRACT Wastewater stabilisation ponds (WSPs) provide favourable conditions for cyanobacterial proliferation. Cyanobacterial toxins (cyanotoxins) pose a risk to human health, environmental flows, and recycled water schemes if not managed appropriately. Cyanotoxins are released predominantly during cyanobacterial cell lysis and under cell stress, but also during normal cell death. A variety of algaecides and oxidants are proven to be effective against cyanobacteria, yet each has a range of limitations, which include low effectiveness towards cyanotoxins, increased cyanotoxin gene synthesis, impact on non-target microorganisms and the microbiological assemblage composition, toxic residuals that can accumulate in sediment, high cost, and impracticality to implement at a large scale. This paper critically reviews the options for chemical control of microcystin-producing bloom-forming cyanobacteria, covering published literature describing laboratory, field experiments, and full-scale trials. This is the first study to assess the scalability of chemical treatment options in WSPs against toxic cyanobacterial blooms. Based on the reviewed case studies, multiple-criteria decision analysis (MCDM) of chemical remediation options was developed and showed that hydrogen peroxide and ozone nanobubbles are the most feasible and scalable treatment methods for future implementation in large-scale WSPs.",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,hydrogen peroxide; ozone,NOT_REPORTED,hydrogen peroxide and ozone nanobubbles,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,direct,"payloads are hydrogen peroxide and ozone, but it doesnot have units like numeric measurements does"
API_OpenAlex_10_1111_iwj_12873,Topical oxygen therapy &amp; micro/nanobubbles: a new modality for tissue oxygen delivery,2018,International Wound Journal,review,nanobubble,environmental/water,"Up to 15 billion dollars of US health care expenditure each year is consumed by treatment of poorly healing wounds whose etiologies are often associated with aberrancies in tissue oxygenation. To address this issue, several modes of tissue oxygen delivery systems exist, including Hyperbaric Oxygen Therapy (HBOT) and Topical Oxygen Therapy (TOT), but their efficacies have yet to be fully substantiated. Micro/nanobubbles (MNBs), which range anywhere from 100 Î¼m to <1 Î¼m in diameter and are relatively stable for hours, offer a new mode of oxygen delivery to wounds. The aim of this article is to systematically review literature examining the use of TOT for wound healing and use of MNBs for tissue oxygenation using the MEDLINE database. The search yielded 87 articles (12 MNB articles and 75 TOT articles), of which 52 met the inclusion criteria for this literature review (12 MNB articles and 40 TOT articles). Additionally, we present an analysis on the efficacy of our MNB generating technology and propose its use as a wound healing agent.",100 to <1,_m,"""range anywhere from 100 _m to <1 _m in diameter""",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,hours,time,"""relatively stable for hours""",oxygen,NOT_REPORTED,"""oxygen delivery to wounds""",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,inferred," size and stability are general characteristics, not tied to a specific experiment. Payload (oxygen) inferred from Òoxygen delivery.Ó"
API_OpenAlex_10_1021_acs_biomac_5b01003,PEGylated Silk Nanoparticles for Anticancer Drug Delivery,2015,Biomacromolecules,original,nanoparticle,biomedical/translational,"Silk has a robust clinical track record and is emerging as a promising biopolymer for drug delivery, including its use as nanomedicine. However, silk-based nanomedicines still require further refinements for full exploitation of their potential; the application of ""stealth"" design principals is especially necessary to support their evolution. The aim of this study was to develop and examine the potential of PEGylated silk nanoparticles as an anticancer drug delivery system. We first generated B. mori derived silk nanoparticles by driving Î²-sheet assembly (size 104 Â± 1.7 nm, zeta potential -56 Â± 5.6 mV) using nanoprecipitation. We then surface grafted polyethylene glycol (PEG) to the fabricated silk nanoparticles and verified the aqueous stability and morphology of the resulting PEGylated silk nanoparticles. We assessed the drug loading and release behavior of these nanoparticles using clinically established and emerging anticancer drugs. Overall, PEGylated silk nanoparticles showed high encapsulation efficiency (>93%) and a pH-dependent release over 14 days. Finally, we demonstrated significant cytotoxicity of drug loaded silk nanoparticles applied as single and combination nanomedicines to human breast cancer cells. In conclusion, these results, taken together with prior silk nanoparticle data, support a viable future for silk-based nanomedicines.",104 ± 1.7,nm,"""We first generated B. mori derived silk nanoparticles by driving Î²-sheet assembly (size 104 Â± 1.7 nm, zeta potential -56 Â± 5.6 mV) using nanoprecipitation""",-56 ± 5.6,mV,"""zeta potential -56 ± 5.6 mV""",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,anticancer drugs,NOT_REPORTED,"""anticancer drug delivery system""",>93,%,"""encapsulation efficiency (>93%)""",14; pH-dependent,days,"""pH-dependent release over 14 days""",direct,"Encapsulation efficiency reported as threshold (>93%), not exact value."
API_OpenAlex_10_1021_acs_nanolett_6b01411,Cytosolic Delivery of Nanolabels Prevents Their Asymmetric Inheritance and Enables Extended Quantitative in Vivo Cell Imaging,2016,Nano Letters,original,nanobubble,biomedical/translational,"Long-term in vivo imaging of cells is crucial for the understanding of cellular fate in biological processes in cancer research, immunology, or in cell-based therapies such as beta cell transplantation in type I diabetes or stem cell therapy. Traditionally, cell labeling with the desired contrast agent occurs ex vivo via spontaneous endocytosis, which is a variable and slow process that requires optimization for each particular label-cell type combination. Following endocytic uptake, the contrast agents mostly remain entrapped in the endolysosomal compartment, which leads to signal instability, cytotoxicity, and asymmetric inheritance of the labels upon cell division. Here, we demonstrate that these disadvantages can be circumvented by delivering contrast agents directly into the cytoplasm via vapor nanobubble photoporation. Compared to classic endocytic uptake, photoporation resulted in 50 and 3 times higher loading of fluorescent dextrans and quantum dots, respectively, with improved signal stability and reduced cytotoxicity. Most interestingly, cytosolic delivery by photoporation prevented asymmetric inheritance of labels by daughter cells over subsequent cell generations. Instead, unequal inheritance of endocytosed labels resulted in a dramatic increase in polydispersity of the amount of labels per cell with each cell division, hindering accurate quantification of cell numbers in vivo over time. The combined benefits of cell labeling by photoporation resulted in a marked improvement in long-term cell visibility in vivo where an insulin producing cell line (INS-1E cell line) labeled with fluorescent dextrans could be tracked for up to two months in Swiss nude mice compared to 2 weeks for cells labeled by endocytosis.",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,fluorescent dextrans; quantum dots,NOT_REPORTED,"""loading of fluorescent dextrans and quantum dots""",50; 3,fold,"""50 and 3 times higher loading""",2; 2,months; weeks,"""tracked for up to two months... compared to 2 weeks""",inferred,Loading expressed as fold-increase rather than percentage; ÒreleaseÓ interpreted as retention/visibility duration.
API_OpenAlex_10_1080_12269328_2016_1153987,The fundamental phenomena of nanobubbles and their behavior in wastewater treatment technologies,2016,Geosystem Engineering,original,nanobubble,environmental/water,"The importance of nanobubbles is widely acknowledged, particularly in terms of their role with respect to bubble size and stability. Nanobubbles are tiny spherical cap-shaped bubbles, and have several unique physical and mechanical characteristics. Longevity, virtual disappearance of buoyancy, high internal pressure, extremely large surface/volume ratio, high oxygen dissolution rate, and generation of free radicals are the important features of nanobubbles. Their peculiar characteristics have led to many applications in the various fields of science and technology, including industrial, biological, and medical fields. This paper aims to provide a state-of-the-art for nanobubble technology. The fundamentals about existence and stability of nanobubbles are reviewed. Understanding of zeta potential values in nanobubbles is reviewed. The current methods of generation and measurement of nanobubbles are reviewed. Finally, the current applications and promising potential applications of nanobubbles are discussed, such as application of nanobubbles in flotation technology, applications of nanobubbles as cleaning agents and applications of nanobubbles in degradation of organic pollutants. In spite of its fantastic properties, use of nanobubble technology is limited to medical applications. Therefore, the recent developments in nanobubble technology are fascinating and promising but challenging as well.",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,oxygen,NOT_REPORTED,"""high oxygen dissolution rate""",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,inferred,properties described qualitatively without measurable values
API_OpenAlex_10_1021_acs_langmuir_8b03650,pH-Responsive Oxygen Nanobubbles for Spontaneous Oxygen Delivery in Hypoxic Tumors,2019,Langmuir,original,micro/nanobubble,biomedical/translational,"Tumor hypoxia is a significant factor leading to the resistance of tumors to treatment, especially for photodynamic therapy and radiotherapy where oxygen is needed to kill cancer cells. Oxygen delivery agents such as oxygen-saturated perfluorocarbon nanoemulsions and lipid oxygen microbubbles have been employed to supply oxygen to hypoxic tumors with ultrasound activation. Such oxygen delivery systems are still associated with several drawbacks, including premature oxygen release and the dependence of external stimuli. To address these limitations, we developed oxygen nanobubbles that were enclosed by the acetalated dextran polymer shells for spontaneous oxygeneration in response to a minor pH drop in the tumor microenvironment. The acetalated dextran polymer shell serves as a robust barrier against gas dissolution in the circulating blood to retain the majority of the oxygen payload, and its pH-responsive property enables an abrupt burst release of oxygen in the mild acidic tumor microenvironment. The acetalated dextran oxygen nanobubbles exhibited excellent stability and biocompatibility. In vitro and in vivo experiments were conducted to investigate the pH-responsive oxygen release. The external stimuli-free supply of oxygen by the acetalated dextran oxygen nanobubbles was evaluated on CNE2 tumor-bearing mice, and the intratumoral oxygen level increased by 6-fold after the administration of the oxygen nanobubbles, manifesting that our pH-responsive oxygen nanobubbles hold great potential as a potent oxygen delivery agent to overcome the hypoxia-induced resistance.",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,oxygen,NOT_REPORTED,oxygen nanobubbles,6,fold,intratumoral oxygen level increased by 6-fold,burst; pH-responsive,NOT_REPORTED,abrupt burst release of oxygen in the mild acidic tumor microenvironment,inferred,"Loading expressed as fold increase; release described qualitatively (burst, pH-responsive)."
API_PubMed_10_1080_03639045_2025_2562181,"Targeted delivery of resveratrol using PEGylated PLGA nanoparticles decorated with folic acid for cancer therapy: characterization, and",2025,Drug development and industrial pharmacy,original,nanoparticle,biomedical/translational,"This study aimed to develop, characterize, and evaluate resveratrol-loaded pegylated PLGA [poly (lactic-co-glycolic acid)] nanoparticles with folate conjugation for improved drug delivery and cytotoxic efficacy against MCF7 breast cancer cells. The significance of this drug delivery system is to enhance the wetting characteristics of resveratrol and reduce nanoparticle agglomeration for maximizing therapeutic efficacy while minimizing systemic cytotoxicity using PLGA and polyethylene glycol (PEG) polymeric nanoparticles as carriers. The process of fabrication and characterization of polymeric conjugate by utilizing PLGA-PEG surface engineered with folic acid for target specificity has already been investigated. Nanoparticles were prepared by double-emulsion solvent evaporation using PPF (PLGA-PEG-FOLATE conjugate polymer) and PVA (Poly vinyl alcohol) as a stabilizer. Compatibility studies were performed using FTIR, DSC, and XRD. Formulations (NF1-NF8) were evaluated for particle size, zeta potential, drug loading, entrapment efficiency, and Compatibility studies confirmed no drug-excipient interactions. NF3 exhibited optimal characteristics: particle size 332.1 nm, zeta potential -24.6 mV, entrapment efficiency 78.65 Â± 0.165%, and drug loading 36.19 Â± 0.154%. Resveratrol-loaded PPF nanoparticles, particularly NF3, demonstrated superior stability, sustained release, and enhanced anticancer activity, making them a promising candidate for targeted breast cancer therapy.",332.1,nm,"""particle size 332.1 nm""",-24.6,mV,"""zeta potential -24.6 mV""",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,resveratrol,NOT_REPORTED,"""resveratrol-loaded pegylated PLGA nanoparticles""",78.65; 36.19,%,"""entrapment efficiency 78.65 ± 0.165%, and drug loading 36.19 ± 0.154%""",sustained,NOT_REPORTED,"""sustained release""",direct,Entrapment efficiency and drug loading both reported; release qualitative only
API_OpenAlex_10_1002_ange_201505817,Stable Encapsulated Air Nanobubbles in Water,2015,Angewandte Chemie,original,micro/nanobubble,environmental/water,"Abstract The dispersion into water of nanocapsules bearing a highly hydrophobic fluorinated internal lining yielded encapsulated air nanobubbles. These bubbles, like their micrometerâsized counterparts (microbubbles), effectively reflected ultrasound. More importantly, the nanobubbles survived under ultrasonication 100âtimes longer than a commercial microbubble sample that is currently in clinical use. We justify this unprecedented stability theoretically. These nanobubbles, owing to their small size and potential ability to permeate the capillary networks of tissues, may expand the applications of microbubbles in diagnostic ultrasonography and find new applications in ultrasoundâregulated drug delivery.",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,100,fold,"""survived under ultrasonication 100 times longer""",air,NOT_REPORTED,"""encapsulated air nanobubbles""",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,inferred,Stability expressed as fold increase vs microbubbles; no absolute values reported
API_PubMed_10_2147_DDDT_S296880,Synergistic Anticancer Strategy of Sonodynamic Therapy Combined with PI-103 Against Hepatocellular Carcinoma.,2021,"Drug design, development and therapy",original,nanobubble,biomedical/translational,"Sonodynamic therapy (SDT) is considered a promising therapeutic strategy for the effective elimination of cancer cells. However, developing novel sonosensitizers with potentially high SDT efficacy remains a considerable challenge. Herein, we utilized near-infrared dye IR820 nanobubbles (NBs) combined with a dual PI3K/mTOR inhibitor PI-103 for the SDT treatment of hepatocellular carcinoma (HCC) in vitro. The generated reactive oxygen species (ROS) were quantified using 2,7-dichlorodihydrofluorescein diacetate to determine the feasibility of using IR820 NBs as a potential sonosensitizer. The inhibition effects of the synergistic therapy was examined using the cell counting Kit 8 assay and apoptosis assay. JC-1 staining was performed to study mitochondrial membrane depolarization, and the transwell assay was used for cell migration analysis. The particle size and zeta potential of IR820 NBs were 545.5Â±93.1 nm and -5.19Â±1.73 mV, respectively. ROS accumulation was observed after HepG2 cells were treated with IR820 NBs under ultrasound irradiation. The SDT combined with PI-103 group inhibited cell viability and migration more strongly than the other groups (P < 0.01). The apoptosis assay also demonstrated a relatively high anti-HCC efficacy with the synergistic therapy, while JC-1 staining showed a decrease in the mitochondrial membrane potential after the combined treatment. The combination of SDT and PI-103 was very effective in suppressing HCC proliferation, which might help develop new minimally invasive cancer treatment strategies.",545.5 ± 93.1,nm,"""particle size ... 545.5±93.1 nm""",-5.19 ± 1.73,mV,"""zeta potential ... -5.19±1.73 mV""",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,IR820; PI-103,NOT_REPORTED,"""IR820 nanobubbles (NBs) combined with ... PI-103""",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,direct,Dual payload system (IR820 NB + PI-103); no loading or release values reported
