record_id,source,primary_doi,doi_candidate_dash,doi_candidate_dot,title_first40,matched,matched_by,matched_doi,matched_warehouse_record_id
API_PubMed_10_1007_s12032_025_03200_7,PubMed,10.1007/s12032-025-03200-7,10.1007/s12032-025-03200-7,10.1007/s12032.025.03200.7,Investigation of the effect of encapsula,True,doi,10.1007/s12032-025-03200-7,API_PubMed_10_1007_s12032_025_03200_7
API_OpenAlex_10_2166_wqrj_2025_052,OpenAlex,10.2166/wqrj-2025-052,10.2166/wqrj-2025-052,10.2166/wqrj.2025.052,Critical review of oxidant application a,True,doi,10.2166/wqrj.2025.052,API_OpenAlex_10_2166_wqrj_2025_052
API_OpenAlex_10_1111_iwj_12873,OpenAlex,10.1111/iwj-12873,10.1111/iwj-12873,10.1111/iwj.12873,Topical oxygen therapy &amp; micro/nanob,True,doi,10.1111/iwj.12873,PubMed_29314626
API_OpenAlex_10_1021_acs_biomac_5b01003,OpenAlex,10.1021/acs-biomac-5b01003,10.1021/acs-biomac-5b01003,10.1021/acs.biomac.5b01003,PEGylated Silk Nanoparticles for Antican,True,doi,10.1021/acs.biomac.5b01003,API_OpenAlex_10_1021_acs_biomac_5b01003
API_OpenAlex_10_1021_acs_nanolett_6b01411,OpenAlex,10.1021/acs-nanolett-6b01411,10.1021/acs-nanolett-6b01411,10.1021/acs.nanolett.6b01411,Cytosolic Delivery of Nanolabels Prevent,True,doi,10.1021/acs.nanolett.6b01411,OpenAlex_W2526958053
API_OpenAlex_10_1080_12269328_2016_1153987,OpenAlex,10.1080/12269328-2016-1153987,10.1080/12269328-2016-1153987,10.1080/12269328.2016.1153987,The fundamental phenomena of nanobubbles,True,doi,10.1080/12269328.2016.1153987,OpenAlex_W2332514354
API_OpenAlex_10_1021_acs_langmuir_8b03650,OpenAlex,10.1021/acs-langmuir-8b03650,10.1021/acs-langmuir-8b03650,10.1021/acs.langmuir.8b03650,pH-Responsive Oxygen Nanobubbles for Spo,True,doi,10.1021/acs.langmuir.8b03650,PubMed_30698448
API_PubMed_10_1080_03639045_2025_2562181,PubMed,10.1080/03639045-2025-2562181,10.1080/03639045-2025-2562181,10.1080/03639045.2025.2562181,Targeted delivery of resveratrol using P,True,doi,10.1080/03639045.2025.2562181,API_PubMed_10_1080_03639045_2025_2562181
API_OpenAlex_10_1002_ange_201505817,OpenAlex,10.1002/ange-201505817,10.1002/ange-201505817,10.1002/ange.201505817,Stable Encapsulated Air Nanobubbles in W,True,normalized_title,10.1002/anie.201505817,PubMed_26439669
API_PubMed_10_2147_DDDT_S296880,PubMed,10.2147/DDDT-S296880,10.2147/DDDT-S296880,10.2147/DDDT.S296880,Synergistic Anticancer Strategy of Sonod,True,doi,10.2147/dddt.s296880,OpenAlex_W3126904022
API_OpenAlex_10_31635_ccschem_019_20190010,OpenAlex,10.31635/ccschem-019-20190010,10.31635/ccschem-019-20190010,10.31635/ccschem.019.20190010,Oxygen Nanoshuttles for Tumor Oxygenatio,True,doi,10.31635/ccschem.019.20190010,OpenAlex_W2966067717
API_OpenAlex_10_1021_acsami_5b07778,OpenAlex,10.1021/acsami-5b07778,10.1021/acsami-5b07778,10.1021/acsami.5b07778,A Novel Approach to Making the Gas-Fille,True,doi,10.1021/acsami.5b07778,PubMed_26567461
API_PubMed_10_1080_10837450_2021_1912090,PubMed,10.1080/10837450-2021-1912090,10.1080/10837450-2021-1912090,10.1080/10837450.2021.1912090,Co-delivery of CPP decorated doxorubicin,True,doi,10.1080/10837450.2021.1912090,PubMed_33843423
API_OpenAlex_10_3390_molecules25173814,OpenAlex,10.3390/molecules25173814,10.3390/molecules25173814,10.3390/molecules25173814,Mesoporous Silica Platforms with Potenti,True,doi,10.3390/molecules25173814,OpenAlex_W3080412700
API_OpenAlex_10_1093_jmicro_dfp056,OpenAlex,10.1093/jmicro-dfp056,10.1093/jmicro-dfp056,10.1093/jmicro.dfp056,Morphological study of acoustic liposome,True,normalized_title,10.1093/jmicro/dfp056,OpenAlex_W2154964159
API_OpenAlex_10_62400_jbs_v5i3_7061,OpenAlex,10.62400/jbs-v5i3-7061,10.62400/jbs-v5i3-7061,10.62400/jbs.v5i3.7061,Preparation of biocompatible nanobubbles,True,doi,10.62400/jbs.v5i3.7061,OpenAlex_W4391715131
API_OpenAlex_10_1016_j_resenv_2025_100256,OpenAlex,10.1016/j-resenv-2025-100256,10.1016/j-resenv-2025-100256,10.1016/j.resenv.2025.100256,Interfacial oxygen nanobubble for mitiga,True,doi,10.1016/j.resenv.2025.100256,OpenAlex_W4413011337
API_OpenAlex_10_1155_2017_8234712,OpenAlex,10.1155/2017-8234712,10.1155/2017-8234712,10.1155/2017.8234712,Development and In Vitro Evaluation of L,True,normalized_title,10.1155/2017/8234712,API_OpenAlex_10_1155_2017_8234712
