record_id,source,encoded_tail,doi_candidate_dash,doi_candidate_dot,primary_doi,notes
API_PubMed_10_1007_s12032_025_03200_7,PubMed,10_1007_s12032_025_03200_7,10.1007/s12032-025-03200-7,10.1007/s12032.025.03200.7,10.1007/s12032-025-03200-7,
API_OpenAlex_10_2166_wqrj_2025_052,OpenAlex,10_2166_wqrj_2025_052,10.2166/wqrj-2025-052,10.2166/wqrj.2025.052,10.2166/wqrj-2025-052,
API_OpenAlex_10_1111_iwj_12873,OpenAlex,10_1111_iwj_12873,10.1111/iwj-12873,10.1111/iwj.12873,10.1111/iwj-12873,
API_OpenAlex_10_1021_acs_biomac_5b01003,OpenAlex,10_1021_acs_biomac_5b01003,10.1021/acs-biomac-5b01003,10.1021/acs.biomac.5b01003,10.1021/acs-biomac-5b01003,
API_OpenAlex_10_1021_acs_nanolett_6b01411,OpenAlex,10_1021_acs_nanolett_6b01411,10.1021/acs-nanolett-6b01411,10.1021/acs.nanolett.6b01411,10.1021/acs-nanolett-6b01411,
API_OpenAlex_10_1080_12269328_2016_1153987,OpenAlex,10_1080_12269328_2016_1153987,10.1080/12269328-2016-1153987,10.1080/12269328.2016.1153987,10.1080/12269328-2016-1153987,
API_OpenAlex_10_1021_acs_langmuir_8b03650,OpenAlex,10_1021_acs_langmuir_8b03650,10.1021/acs-langmuir-8b03650,10.1021/acs.langmuir.8b03650,10.1021/acs-langmuir-8b03650,
API_PubMed_10_1080_03639045_2025_2562181,PubMed,10_1080_03639045_2025_2562181,10.1080/03639045-2025-2562181,10.1080/03639045.2025.2562181,10.1080/03639045-2025-2562181,
API_OpenAlex_10_1002_ange_201505817,OpenAlex,10_1002_ange_201505817,10.1002/ange-201505817,10.1002/ange.201505817,10.1002/ange-201505817,
API_PubMed_10_2147_DDDT_S296880,PubMed,10_2147_DDDT_S296880,10.2147/DDDT-S296880,10.2147/DDDT.S296880,10.2147/DDDT-S296880,
API_OpenAlex_10_31635_ccschem_019_20190010,OpenAlex,10_31635_ccschem_019_20190010,10.31635/ccschem-019-20190010,10.31635/ccschem.019.20190010,10.31635/ccschem-019-20190010,
API_OpenAlex_10_1021_acsami_5b07778,OpenAlex,10_1021_acsami_5b07778,10.1021/acsami-5b07778,10.1021/acsami.5b07778,10.1021/acsami-5b07778,
API_PubMed_10_1080_10837450_2021_1912090,PubMed,10_1080_10837450_2021_1912090,10.1080/10837450-2021-1912090,10.1080/10837450.2021.1912090,10.1080/10837450-2021-1912090,
API_OpenAlex_10_3390_molecules25173814,OpenAlex,10_3390_molecules25173814,10.3390/molecules25173814,10.3390/molecules25173814,10.3390/molecules25173814,
API_OpenAlex_10_1093_jmicro_dfp056,OpenAlex,10_1093_jmicro_dfp056,10.1093/jmicro-dfp056,10.1093/jmicro.dfp056,10.1093/jmicro-dfp056,
API_OpenAlex_10_62400_jbs_v5i3_7061,OpenAlex,10_62400_jbs_v5i3_7061,10.62400/jbs-v5i3-7061,10.62400/jbs.v5i3.7061,10.62400/jbs-v5i3-7061,
